0 | function | palavra-reservada

6380 | break | palavra-reservada

6381 | matched | string

6382 | push | string

6383 | elem | string

6384 | return | palavra-reservada

6385 | matched | string

6386 | var | palavra-reservada

6387 | siblings | string

6388 | = | operador

6389 | function | palavra-reservada

6390 | n | char

6391 | elem | string

6392 | var | palavra-reservada

6393 | matched | string

6394 | = | operador

6395 | for | palavra-reservada

6396 | n | char

6397 | n | char

6398 | = | operador

6399 | n | char

6400 | nextSibling | funcao

6401 | if | palavra-reservada

6402 | n | char

6403 | nodeType | funcao

6404 | === | comparador

6405 | 1 | inteiro

6406 | && | comparador

6407 | n | char

6408 | == | comparador

6409 | elem | string

6410 | matched | string

6411 | push | string

6412 | n | char

6413 | return | palavra-reservada

6414 | matched | string

6415 | var | palavra-reservada

6416 | rneedsContext | funcao

6417 | = | operador

6418 | jQuery | variavel

6419 | expr | string

6420 | match | string

6421 | needsContext | funcao

6422 | function | palavra-reservada

6423 | nodeName | funcao

6424 | elem | string

6425 | name | string

6426 | return | palavra-reservada

6427 | elem | string

6428 | nodeName | funcao

6429 | && | comparador

6430 | elem | string

6431 | nodeName | funcao

6432 | toLowerCase | string

6433 | === | comparador

6434 | name | string

6435 | toLowerCase | string

6436 | var | palavra-reservada

6437 | rsingleTag | funcao

6438 | = | operador

6439 | /^< | string

6440 | a | char

6441 | z | char

6442 | ^\/\0> | string

6443 | \x20\t\r\n\f | string

6444 | * | operador

6445 | \x20\t\r\n\f | string

6446 | *\/ | string

6447 | > | comparador

6448 | <\/\1>| | string

6449 | $/i | string

6450 | function | palavra-reservada

6451 | winnow | string

6452 | elements | string

6453 | qualifier | string

6454 | not | string

6455 | if | palavra-reservada

6456 | isFunction | funcao

6457 | qualifier | string

6458 | return | palavra-reservada

6459 | jQuery | variavel

6460 | grep | string

6461 | elements | string

6462 | function | palavra-reservada

6463 | elem | string

6464 | i | char

6465 | return | palavra-reservada

6466 | qualifier | string

6467 | call | string

6468 | elem | string

6469 | i | char

6470 | elem | string

6471 | == | comparador

6472 | not | string

6473 | if | palavra-reservada

6474 | qualifier | string

6475 | nodeType | funcao

6476 | return | palavra-reservada

6477 | jQuery | variavel

6478 | grep | string

6479 | elements | string

6480 | function | palavra-reservada

6481 | elem | string

6482 | return | palavra-reservada

6483 | elem | string

6484 | === | comparador

6485 | qualifier | string

6486 | == | comparador

6487 | not | string

6488 | if | palavra-reservada

6489 | typeof | palavra-reservada

6490 | qualifier | string

6491 | == | comparador

6492 | string | tipo-de-dado

6493 | return | palavra-reservada

6494 | jQuery | variavel

6495 | grep | string

6496 | elements | string

6497 | function | palavra-reservada

6498 | elem | string

6499 | return | palavra-reservada

6500 | indexOf | funcao

6501 | call | string

6502 | qualifier | string

6503 | elem | string

6504 | > | comparador

6505 | 1 | inteiro

6506 | == | comparador

6507 | not | string

6508 | return | palavra-reservada

6509 | jQuery | variavel

6510 | filter | string

6511 | qualifier | string

6512 | elements | string

6513 | not | string

6514 | jQuery | variavel

6515 | filter | string

6516 | = | operador

6517 | function | palavra-reservada

6518 | expr | string

6519 | elems | string

6520 | not | string

6521 | var | palavra-reservada

6522 | elem | string

6523 | = | operador

6524 | elems | string

6525 | 0 | inteiro

6526 | if | palavra-reservada

6527 | not | string

6528 | expr | string

6529 | = | operador

6530 | not | string

6531 | expr | string

6532 | if | palavra-reservada

6533 | elems | string

6534 | length | string

6535 | === | comparador

6536 | 1 | inteiro

6537 | && | comparador

6538 | elem | string

6539 | nodeType | funcao

6540 | === | comparador

6541 | 1 | inteiro

6542 | return | palavra-reservada

6543 | jQuery | variavel

6544 | find | string

6545 | matchesSelector | funcao

6546 | elem | string

6547 | expr | string

6548 | elem | string

6549 | return | palavra-reservada

6550 | jQuery | variavel

6551 | find | string

6552 | matches | string

6553 | expr | string

6554 | jQuery | variavel

6555 | grep | string

6556 | elems | string

6557 | function | palavra-reservada

6558 | elem | string

6559 | return | palavra-reservada

6560 | elem | string

6561 | nodeType | funcao

6562 | === | comparador

6563 | 1 | inteiro

6564 | jQuery | variavel

6565 | fn | string

6566 | extend | string

6567 | find | string

6568 | function | palavra-reservada

6569 | selector | string

6570 | var | palavra-reservada

6571 | i | char

6572 | ret | string

6573 | len | string

6574 | = | operador

6575 | this | palavra-reservada

6576 | length | string

6577 | self | string

6578 | = | operador

6579 | this | palavra-reservada

6580 | if | palavra-reservada

6581 | typeof | palavra-reservada

6582 | selector | string

6583 | == | comparador

6584 | string | tipo-de-dado

6585 | return | palavra-reservada

6586 | this | palavra-reservada

6587 | pushStack | funcao

6588 | jQuery | variavel

6589 | selector | string

6590 | filter | string

6591 | function | palavra-reservada

6592 | for | palavra-reservada

6593 | i | char

6594 | = | operador

6595 | 0 | inteiro

6596 | i | char

6597 | < | comparador

6598 | len | string

6599 | i | char

6600 | if | palavra-reservada

6601 | jQuery | variavel

6602 | contains | string

6603 | self | string

6604 | i | char

6605 | this | palavra-reservada

6606 | return | palavra-reservada

6607 | true | palavra-reservada

6608 | ret | string

6609 | = | operador

6610 | this | palavra-reservada

6611 | pushStack | funcao

6612 | for | palavra-reservada

6613 | i | char

6614 | = | operador

6615 | 0 | inteiro

6616 | i | char

6617 | < | comparador

6618 | len | string

6619 | i | char

6620 | jQuery | variavel

6621 | find | string

6622 | selector | string

6623 | self | string

6624 | i | char

6625 | ret | string

6626 | return | palavra-reservada

6627 | len | string

6628 | > | comparador

6629 | 1 | inteiro

6630 | jQuery | variavel

6631 | uniqueSort | funcao

6632 | ret | string

6633 | ret | string

6634 | filter | string

6635 | function | palavra-reservada

6636 | selector | string

6637 | return | palavra-reservada

6638 | this | palavra-reservada

6639 | pushStack | funcao

6640 | winnow | string

6641 | this | palavra-reservada

6642 | selector | string

6643 | || | comparador

6644 | false | palavra-reservada

6645 | not | string

6646 | function | palavra-reservada

6647 | selector | string

6648 | return | palavra-reservada

6649 | this | palavra-reservada

6650 | pushStack | funcao

6651 | winnow | string

6652 | this | palavra-reservada

6653 | selector | string

6654 | || | comparador

6655 | true | palavra-reservada

6656 | is | string

6657 | function | palavra-reservada

6658 | selector | string

6659 | return | palavra-reservada

6660 | winnow | string

6661 | this | palavra-reservada

6662 | typeof | palavra-reservada

6663 | selector | string

6664 | === | comparador

6665 | string | tipo-de-dado

6666 | && | comparador

6667 | rneedsContext | funcao

6668 | test | string

6669 | selector | string

6670 | jQuery | variavel

6671 | selector | string

6672 | selector | string

6673 | || | comparador

6674 | false | palavra-reservada

6675 | length | string

6676 | var | palavra-reservada

6677 | rootjQuery | funcao

6678 | rquickExpr | funcao

6679 | = | operador

6680 | /^ | string

6681 | \s* | string

6682 | < | comparador

6683 | \w\W | string

6684 | > | comparador

6685 | ^> | string

6686 | *|# | string

6687 | \w | string

6688 | $/ | string

6689 | init | string

6690 | = | operador

6691 | jQuery | variavel

6692 | fn | string

6693 | init | string

6694 | = | operador

6695 | function | palavra-reservada

6696 | selector | string

6697 | context | string

6698 | root | string

6699 | var | palavra-reservada

6700 | match | string

6701 | elem | string

6702 | if | palavra-reservada

6703 | selector | string

6704 | return | palavra-reservada

6705 | this | palavra-reservada

6706 | root | string

6707 | = | operador

6708 | root | string

6709 | || | comparador

6710 | rootjQuery | funcao

6711 | if | palavra-reservada

6712 | typeof | palavra-reservada

6713 | selector | string

6714 | === | comparador

6715 | string | tipo-de-dado

6716 | if | palavra-reservada

6717 | selector | string

6718 | 0 | inteiro

6719 | === | comparador

6720 | < | comparador

6721 | && | comparador

6722 | selector | string

6723 | selector | string

6724 | length | string

6725 | 1 | inteiro

6726 | === | comparador

6727 | > | comparador

6728 | && | comparador

6729 | selector | string

6730 | length | string

6731 | >= | string

6732 | 3 | inteiro

6733 | match | string

6734 | = | operador

6735 | null | palavra-reservada

6736 | selector | string

6737 | null | palavra-reservada

6738 | else | palavra-reservada

6739 | match | string

6740 | = | operador

6741 | rquickExpr | funcao

6742 | exec | string

6743 | selector | string

6744 | if | palavra-reservada

6745 | match | string

6746 | && | comparador

6747 | match | string

6748 | 1 | inteiro

6749 | || | comparador

6750 | context | string

6751 | if | palavra-reservada

6752 | match | string

6753 | 1 | inteiro

6754 | context | string

6755 | = | operador

6756 | context | string

6757 | instanceof | palavra-reservada

6758 | jQuery | variavel

6759 | context | string

6760 | 0 | inteiro

6761 | context | string

6762 | jQuery | variavel

6763 | merge | string

6764 | this | palavra-reservada

6765 | jQuery | variavel

6766 | parseHTML | string

6767 | match | string

6768 | 1 | inteiro

6769 | context | string

6770 | && | comparador

6771 | context | string

6772 | nodeType | funcao

6773 | context | string

6774 | ownerDocument | funcao

6775 | || | comparador

6776 | context | string

6777 | document | palavra-reservada

6778 | true | palavra-reservada

6779 | if | palavra-reservada

6780 | rsingleTag | funcao

6781 | test | string

6782 | match | string

6783 | 1 | inteiro

6784 | && | comparador

6785 | jQuery | variavel

6786 | isPlainObject | string

6787 | context | string

6788 | for | palavra-reservada

6789 | match | string

6790 | in | palavra-reservada

6791 | context | string

6792 | if | palavra-reservada

6793 | isFunction | funcao

6794 | this | palavra-reservada

6795 | match | string

6796 | this | palavra-reservada

6797 | match | string

6798 | context | string

6799 | match | string

6800 | else | palavra-reservada

6801 | this | palavra-reservada

6802 | attr | string

6803 | match | string

6804 | context | string

6805 | match | string

6806 | return | palavra-reservada

6807 | this | palavra-reservada

6808 | else | palavra-reservada

6809 | elem | string

6810 | = | operador

6811 | document | palavra-reservada

6812 | getElementById | string

6813 | match | string

6814 | 2 | inteiro

6815 | if | palavra-reservada

6816 | elem | string

6817 | this | palavra-reservada

6818 | 0 | inteiro

6819 | = | operador

6820 | elem | string

6821 | this | palavra-reservada

6822 | length | string

6823 | = | operador

6824 | 1 | inteiro

6825 | return | palavra-reservada

6826 | this | palavra-reservada

6827 | else | palavra-reservada

6828 | if | palavra-reservada

6829 | context | string

6830 | || | comparador

6831 | context | string

6832 | jquery | string

6833 | return | palavra-reservada

6834 | context | string

6835 | || | comparador

6836 | root | string

6837 | find | string

6838 | selector | string

6839 | else | palavra-reservada

6840 | return | palavra-reservada

6841 | this | palavra-reservada

6842 | constructor | string

6843 | context | string

6844 | find | string

6845 | selector | string

6846 | else | palavra-reservada

6847 | if | palavra-reservada

6848 | selector | string

6849 | nodeType | funcao

6850 | this | palavra-reservada

6851 | 0 | inteiro

6852 | = | operador

6853 | selector | string

6854 | this | palavra-reservada

6855 | length | string

6856 | = | operador

6857 | 1 | inteiro

6858 | return | palavra-reservada

6859 | this | palavra-reservada

6860 | else | palavra-reservada

6861 | if | palavra-reservada

6862 | isFunction | funcao

6863 | selector | string

6864 | return | palavra-reservada

6865 | root | string

6866 | ready | string

6867 | == | comparador

6868 | undefined | tipo-de-dado

6869 | root | string

6870 | ready | string

6871 | selector | string

6872 | selector | string

6873 | jQuery | variavel

6874 | return | palavra-reservada

6875 | jQuery | variavel

6876 | makeArray | funcao

6877 | selector | string

6878 | this | palavra-reservada

6879 | init | string

6880 | prototype | string

6881 | = | operador

6882 | jQuery | variavel

6883 | fn | string

6884 | rootjQuery | funcao

6885 | = | operador

6886 | jQuery | variavel

6887 | document | palavra-reservada

6888 | var | palavra-reservada

6889 | rparentsprev | string

6890 | = | operador

6891 | /^ | string

6892 | parents|prev | string

6893 | Until|All | string

6894 | / | operador

6895 | guaranteedUnique | funcao

6896 | = | operador

6897 | children | string

6898 | true | palavra-reservada

6899 | contents | string

6900 | true | palavra-reservada

6901 | next | string

6902 | true | palavra-reservada

6903 | prev | string

6904 | true | palavra-reservada

6905 | jQuery | variavel

6906 | fn | string

6907 | extend | string

6908 | has | string

6909 | function | palavra-reservada

6910 | target | string

6911 | var | palavra-reservada

6912 | targets | string

6913 | = | operador

6914 | jQuery | variavel

6915 | target | string

6916 | this | palavra-reservada

6917 | l | char

6918 | = | operador

6919 | targets | string

6920 | length | string

6921 | return | palavra-reservada

6922 | this | palavra-reservada

6923 | filter | string

6924 | function | palavra-reservada

6925 | var | palavra-reservada

6926 | i | char

6927 | = | operador

6928 | 0 | inteiro

6929 | for | palavra-reservada

6930 | i | char

6931 | < | comparador

6932 | l | char

6933 | i | char

6934 | if | palavra-reservada

6935 | jQuery | variavel

6936 | contains | string

6937 | this | palavra-reservada

6938 | targets | string

6939 | i | char

6940 | return | palavra-reservada

6941 | true | palavra-reservada

6942 | closest | string

6943 | function | palavra-reservada

6944 | selectors | string

6945 | context | string

6946 | var | palavra-reservada

6947 | cur | string

6948 | i | char

6949 | = | operador

6950 | 0 | inteiro

6951 | l | char

6952 | = | operador

6953 | this | palavra-reservada

6954 | length | string

6955 | matched | string

6956 | = | operador

6957 | targets | string

6958 | = | operador

6959 | typeof | palavra-reservada

6960 | selectors | string

6961 | == | comparador

6962 | string | tipo-de-dado

6963 | && | comparador

6964 | jQuery | variavel

6965 | selectors | string

6966 | if | palavra-reservada

6967 | rneedsContext | funcao

6968 | test | string

6969 | selectors | string

6970 | for | palavra-reservada

6971 | i | char

6972 | < | comparador

6973 | l | char

6974 | i | char

6975 | for | palavra-reservada

6976 | cur | string

6977 | = | operador

6978 | this | palavra-reservada

6979 | i | char

6980 | cur | string

6981 | && | comparador

6982 | cur | string

6983 | == | comparador

6984 | context | string

6985 | cur | string

6986 | = | operador

6987 | cur | string

6988 | parentNode | funcao

6989 | if | palavra-reservada

6990 | cur | string

6991 | nodeType | funcao

6992 | < | comparador

6993 | 11 | string

6994 | && | comparador

6995 | targets | string

6996 | targets | string

6997 | index | string

6998 | cur | string

6999 | > | comparador

7000 | 1 | inteiro

7001 | cur | string

7002 | nodeType | funcao

7003 | === | comparador

7004 | 1 | inteiro

7005 | && | comparador

7006 | jQuery | variavel

7007 | find | string

7008 | matchesSelector | funcao

7009 | cur | string

7010 | selectors | string

7011 | matched | string

7012 | push | string

7013 | cur | string

7014 | break | palavra-reservada

7015 | return | palavra-reservada

7016 | this | palavra-reservada

7017 | pushStack | funcao

7018 | matched | string

7019 | length | string

7020 | > | comparador

7021 | 1 | inteiro

7022 | jQuery | variavel

7023 | uniqueSort | funcao

7024 | matched | string

7025 | matched | string

7026 | index | string

7027 | function | palavra-reservada

7028 | elem | string

7029 | if | palavra-reservada

7030 | elem | string

7031 | return | palavra-reservada

7032 | this | palavra-reservada

7033 | 0 | inteiro

7034 | && | comparador

7035 | this | palavra-reservada

7036 | 0 | inteiro

7037 | parentNode | funcao

7038 | this | palavra-reservada

7039 | first | string

7040 | prevAll | funcao

7041 | length | string

7042 | 1 | inteiro

7043 | if | palavra-reservada

7044 | typeof | palavra-reservada

7045 | elem | string

7046 | === | comparador

7047 | string | tipo-de-dado

7048 | return | palavra-reservada

7049 | indexOf | funcao

7050 | call | string

7051 | jQuery | variavel

7052 | elem | string

7053 | this | palavra-reservada

7054 | 0 | inteiro

7055 | return | palavra-reservada

7056 | indexOf | funcao

7057 | call | string

7058 | this | palavra-reservada

7059 | elem | string

7060 | jquery | string

7061 | elem | string

7062 | 0 | inteiro

7063 | elem | string

7064 | add | string

7065 | function | palavra-reservada

7066 | selector | string

7067 | context | string

7068 | return | palavra-reservada

7069 | this | palavra-reservada

7070 | pushStack | funcao

7071 | jQuery | variavel

7072 | uniqueSort | funcao

7073 | jQuery | variavel

7074 | merge | string

7075 | this | palavra-reservada

7076 | get | string

7077 | jQuery | variavel

7078 | selector | string

7079 | context | string

7080 | addBack | funcao

7081 | function | palavra-reservada

7082 | selector | string

7083 | return | palavra-reservada

7084 | this | palavra-reservada

7085 | add | string

7086 | selector | string

7087 | == | comparador

7088 | null | palavra-reservada

7089 | this | palavra-reservada

7090 | prevObject | funcao

7091 | this | palavra-reservada

7092 | prevObject | funcao

7093 | filter | string

7094 | selector | string

7095 | function | palavra-reservada

7096 | sibling | string

7097 | cur | string

7098 | dir | string

7099 | while | palavra-reservada

7100 | cur | string

7101 | = | operador

7102 | cur | string

7103 | dir | string

7104 | && | comparador

7105 | cur | string

7106 | nodeType | funcao

7107 | == | comparador

7108 | 1 | inteiro

7109 | return | palavra-reservada

7110 | cur | string

7111 | jQuery | variavel

7112 | each | string

7113 | parent | string

7114 | function | palavra-reservada

7115 | elem | string

7116 | var | palavra-reservada

7117 | parent | string

7118 | = | operador

7119 | elem | string

7120 | parentNode | funcao

7121 | return | palavra-reservada

7122 | parent | string

7123 | && | comparador

7124 | parent | string

7125 | nodeType | funcao

7126 | == | comparador

7127 | 11 | string

7128 | parent | string

7129 | null | palavra-reservada

7130 | parents | string

7131 | function | palavra-reservada

7132 | elem | string

7133 | return | palavra-reservada

7134 | dir | string

7135 | elem | string

7136 | parentNode | funcao

7137 | parentsUntil | funcao

7138 | function | palavra-reservada

7139 | elem | string

7140 | _i | string

7141 | until | string

7142 | return | palavra-reservada

7143 | dir | string

7144 | elem | string

7145 | parentNode | funcao

7146 | until | string

7147 | next | string

7148 | function | palavra-reservada

7149 | elem | string

7150 | return | palavra-reservada

7151 | sibling | string

7152 | elem | string

7153 | nextSibling | funcao

7154 | prev | string

7155 | function | palavra-reservada

7156 | elem | string

7157 | return | palavra-reservada

7158 | sibling | string

7159 | elem | string

7160 | previousSibling | funcao

7161 | nextAll | funcao

7162 | function | palavra-reservada

7163 | elem | string

7164 | return | palavra-reservada

7165 | dir | string

7166 | elem | string

7167 | nextSibling | funcao

7168 | prevAll | funcao

7169 | function | palavra-reservada

7170 | elem | string

7171 | return | palavra-reservada

7172 | dir | string

7173 | elem | string

7174 | previousSibling | funcao

7175 | nextUntil | funcao

7176 | function | palavra-reservada

7177 | elem | string

7178 | _i | string

7179 | until | string

7180 | return | palavra-reservada

7181 | dir | string

7182 | elem | string

7183 | nextSibling | funcao

7184 | until | string

7185 | prevUntil | funcao

7186 | function | palavra-reservada

7187 | elem | string

7188 | _i | string

7189 | until | string

7190 | return | palavra-reservada

7191 | dir | string

7192 | elem | string

7193 | previousSibling | funcao

7194 | until | string

7195 | siblings | string

7196 | function | palavra-reservada

7197 | elem | string

7198 | return | palavra-reservada

7199 | siblings | string

7200 | elem | string

7201 | parentNode | funcao

7202 | || | comparador

7203 | firstChild | funcao

7204 | elem | string

7205 | children | string

7206 | function | palavra-reservada

7207 | elem | string

7208 | return | palavra-reservada

7209 | siblings | string

7210 | elem | string

7211 | firstChild | funcao

7212 | contents | string

7213 | function | palavra-reservada

7214 | elem | string

7215 | if | palavra-reservada

7216 | elem | string

7217 | contentDocument | funcao

7218 | = | operador

7219 | null | palavra-reservada

7220 | && | comparador

7221 | getProto | funcao

7222 | elem | string

7223 | contentDocument | funcao

7224 | return | palavra-reservada

7225 | elem | string

7226 | contentDocument | funcao

7227 | if | palavra-reservada

7228 | nodeName | funcao

7229 | elem | string

7230 | template | string

7231 | elem | string

7232 | = | operador

7233 | elem | string

7234 | content | string

7235 | || | comparador

7236 | elem | string

7237 | return | palavra-reservada

7238 | jQuery | variavel

7239 | merge | string

7240 | elem | string

7241 | childNodes | funcao

7242 | function | palavra-reservada

7243 | name | string

7244 | fn | string

7245 | jQuery | variavel

7246 | fn | string

7247 | name | string

7248 | = | operador

7249 | function | palavra-reservada

7250 | until | string

7251 | selector | string

7252 | var | palavra-reservada

7253 | matched | string

7254 | = | operador

7255 | jQuery | variavel

7256 | map | string

7257 | this | palavra-reservada

7258 | fn | string

7259 | until | string

7260 | if | palavra-reservada

7261 | name | string

7262 | slice | string

7263 | 5 | inteiro

7264 | == | comparador

7265 | Until | string

7266 | selector | string

7267 | = | operador

7268 | until | string

7269 | if | palavra-reservada

7270 | selector | string

7271 | && | comparador

7272 | typeof | palavra-reservada

7273 | selector | string

7274 | === | comparador

7275 | string | tipo-de-dado

7276 | matched | string

7277 | = | operador

7278 | jQuery | variavel

7279 | filter | string

7280 | selector | string

7281 | matched | string

7282 | if | palavra-reservada

7283 | this | palavra-reservada

7284 | length | string

7285 | > | comparador

7286 | 1 | inteiro

7287 | if | palavra-reservada

7288 | guaranteedUnique | funcao

7289 | name | string

7290 | jQuery | variavel

7291 | uniqueSort | funcao

7292 | matched | string

7293 | if | palavra-reservada

7294 | rparentsprev | string

7295 | test | string

7296 | name | string

7297 | matched | string

7298 | reverse | string

7299 | return | palavra-reservada

7300 | this | palavra-reservada

7301 | pushStack | funcao

7302 | matched | string

7303 | var | palavra-reservada

7304 | rnothtmlwhite | string

7305 | = | operador

7306 | / | operador

7307 | ^\x20\t\r\n\f | string

7308 | /g | string

7309 | function | palavra-reservada

7310 | createOptions | funcao

7311 | options | string

7312 | var | palavra-reservada

7313 | object | string

7314 | = | operador

7315 | jQuery | variavel

7316 | each | string

7317 | options | string

7318 | match | string

7319 | rnothtmlwhite | string

7320 | || | comparador

7321 | function | palavra-reservada

7322 | _ | char

7323 | flag | string

7324 | object | string

7325 | flag | string

7326 | = | operador

7327 | true | palavra-reservada

7328 | return | palavra-reservada

7329 | object | string

7330 | jQuery | variavel

7331 | Callbacks | string

7332 | = | operador

7333 | function | palavra-reservada

7334 | options | string

7335 | options | string

7336 | = | operador

7337 | typeof | palavra-reservada

7338 | options | string

7339 | === | comparador

7340 | string | tipo-de-dado

7341 | createOptions | funcao

7342 | options | string

7343 | jQuery | variavel

7344 | extend | string

7345 | options | string

7346 | var | palavra-reservada

7347 | firing | string

7348 | memory | string

7349 | fired | string

7350 | locked | string

7351 | list | tipo-de-dado

7352 | = | operador

7353 | queue | string

7354 | = | operador

7355 | firingIndex | funcao

7356 | = | operador

7357 | 1 | inteiro

7358 | fire | string

7359 | = | operador

7360 | function | palavra-reservada

7361 | locked | string

7362 | = | operador

7363 | locked | string

7364 | || | comparador

7365 | options | string

7366 | once | string

7367 | fired | string

7368 | = | operador

7369 | firing | string

7370 | = | operador

7371 | true | palavra-reservada

7372 | for | palavra-reservada

7373 | queue | string

7374 | length | string

7375 | firingIndex | funcao

7376 | = | operador

7377 | 1 | inteiro

7378 | memory | string

7379 | = | operador

7380 | queue | string

7381 | shift | string

7382 | while | palavra-reservada

7383 | firingIndex | funcao

7384 | < | comparador

7385 | list | tipo-de-dado

7386 | length | string

7387 | if | palavra-reservada

7388 | list | tipo-de-dado

7389 | firingIndex | funcao

7390 | apply | string

7391 | memory | string

7392 | 0 | inteiro

7393 | memory | string

7394 | 1 | inteiro

7395 | === | comparador

7396 | false | palavra-reservada

7397 | && | comparador

7398 | options | string

7399 | stopOnFalse | string

7400 | firingIndex | funcao

7401 | = | operador

7402 | list | tipo-de-dado

7403 | length | string

7404 | memory | string

7405 | = | operador

7406 | false | palavra-reservada

7407 | if | palavra-reservada

7408 | options | string

7409 | memory | string

7410 | memory | string

7411 | = | operador

7412 | false | palavra-reservada

7413 | firing | string

7414 | = | operador

7415 | false | palavra-reservada

7416 | if | palavra-reservada

7417 | locked | string

7418 | if | palavra-reservada

7419 | memory | string

7420 | list | tipo-de-dado

7421 | = | operador

7422 | else | palavra-reservada

7423 | list | tipo-de-dado

7424 | = | operador

7425 | self | string

7426 | = | operador

7427 | add | string

7428 | function | palavra-reservada

7429 | if | palavra-reservada

7430 | list | tipo-de-dado

7431 | if | palavra-reservada

7432 | memory | string

7433 | && | comparador

7434 | firing | string

7435 | firingIndex | funcao

7436 | = | operador

7437 | list | tipo-de-dado

7438 | length | string

7439 | 1 | inteiro

7440 | queue | string

7441 | push | string

7442 | memory | string

7443 | function | palavra-reservada

7444 | add | string

7445 | args | string

7446 | jQuery | variavel

7447 | each | string

7448 | args | string

7449 | function | palavra-reservada

7450 | _ | char

7451 | arg | string

7452 | if | palavra-reservada

7453 | isFunction | funcao

7454 | arg | string

7455 | if | palavra-reservada

7456 | options | string

7457 | unique | string

7458 | || | comparador

7459 | self | string

7460 | has | string

7461 | arg | string

7462 | list | tipo-de-dado

7463 | push | string

7464 | arg | string

7465 | else | palavra-reservada

7466 | if | palavra-reservada

7467 | arg | string

7468 | && | comparador

7469 | arg | string

7470 | length | string

7471 | && | comparador

7472 | toType | funcao

7473 | arg | string

7474 | == | comparador

7475 | string | tipo-de-dado

7476 | add | string

7477 | arg | string

7478 | arguments | palavra-reservada

7479 | if | palavra-reservada

7480 | memory | string

7481 | && | comparador

7482 | firing | string

7483 | fire | string

7484 | return | palavra-reservada

7485 | this | palavra-reservada

7486 | remove | string

7487 | function | palavra-reservada

7488 | jQuery | variavel

7489 | each | string

7490 | arguments | palavra-reservada

7491 | function | palavra-reservada

7492 | _ | char

7493 | arg | string

7494 | var | palavra-reservada

7495 | index | string

7496 | while | palavra-reservada

7497 | index | string

7498 | = | operador

7499 | jQuery | variavel

7500 | inArray | funcao

7501 | arg | string

7502 | list | tipo-de-dado

7503 | index | string

7504 | > | comparador

7505 | 1 | inteiro

7506 | list | tipo-de-dado

7507 | splice | string

7508 | index | string

7509 | 1 | inteiro

7510 | if | palavra-reservada

7511 | index | string

7512 | <= | string

7513 | firingIndex | funcao

7514 | firingIndex | funcao

7515 | return | palavra-reservada

7516 | this | palavra-reservada

7517 | has | string

7518 | function | palavra-reservada

7519 | fn | string

7520 | return | palavra-reservada

7521 | fn | string

7522 | jQuery | variavel

7523 | inArray | funcao

7524 | fn | string

7525 | list | tipo-de-dado

7526 | > | comparador

7527 | 1 | inteiro

7528 | list | tipo-de-dado

7529 | length | string

7530 | > | comparador

7531 | 0 | inteiro

7532 | empty | string

7533 | function | palavra-reservada

7534 | if | palavra-reservada

7535 | list | tipo-de-dado

7536 | list | tipo-de-dado

7537 | = | operador

7538 | return | palavra-reservada

7539 | this | palavra-reservada

7540 | disable | string

7541 | function | palavra-reservada

7542 | locked | string

7543 | = | operador

7544 | queue | string

7545 | = | operador

