0 | function | palavra-reservada
972 | = | operador

973 | obj | string

974 | && | comparador

975 | length | string

976 | in | palavra-reservada

977 | obj | string

978 | && | comparador

979 | obj | string

980 | length | string

981 | type | string

982 | = | operador

983 | toType | funcao

984 | obj | string

985 | if | palavra-reservada

986 | isFunction | funcao

987 | obj | string

988 | || | comparador

989 | isWindow | funcao

990 | obj | string

991 | return | palavra-reservada

992 | false | palavra-reservada

993 | return | palavra-reservada

994 | type | string

995 | === | comparador

996 | array | tipo-de-dado

997 | || | comparador

998 | length | string

999 | === | comparador

1000 | 0 | inteiro

1001 | || | comparador

1002 | typeof | palavra-reservada

1003 | length | string

1004 | === | comparador

1005 | number | string

1006 | && | comparador

1007 | length | string

1008 | > | comparador

1009 | 0 | inteiro

1010 | && | comparador

1011 | length | string

1012 | 1 | inteiro

1013 | in | palavra-reservada

1014 | obj | string

1015 | var | palavra-reservada

1016 | Sizzle | string

1017 | = | operador

1018 | function | palavra-reservada

1019 | window | palavra-reservada

1020 | var | palavra-reservada

1021 | i | char

1022 | support | string

1023 | Expr | string

1024 | getText | funcao

1025 | isXML | string

1026 | tokenize | string

1027 | compile | string

1028 | select | string

1029 | outermostContext | funcao

1030 | sortInput | funcao

1031 | hasDuplicate | funcao

1032 | setDocument | funcao

1033 | document | palavra-reservada

1034 | docElem | funcao

1035 | documentIsHTML | string

1036 | rbuggyQSA | string

1037 | rbuggyMatches | funcao

1038 | matches | string

1039 | contains | string

1040 | expando | string

1041 | = | operador

1042 | sizzle | string

1043 | 1 | inteiro

1044 | * | operador

1045 | new | palavra-reservada

1046 | Date | tipo-de-dado

1047 | preferredDoc | funcao

1048 | = | operador

1049 | window | palavra-reservada

1050 | document | palavra-reservada

1051 | dirruns | string

1052 | = | operador

1053 | 0 | inteiro

1054 | done | string

1055 | = | operador

1056 | 0 | inteiro

1057 | classCache | funcao

1058 | = | operador

1059 | createCache | funcao

1060 | tokenCache | funcao

1061 | = | operador

1062 | createCache | funcao

1063 | compilerCache | funcao

1064 | = | operador

1065 | createCache | funcao

1066 | nonnativeSelectorCache | string

1067 | = | operador

1068 | createCache | funcao

1069 | sortOrder | funcao

1070 | = | operador

1071 | function | palavra-reservada

1072 | a | char

1073 | b | char

1074 | if | palavra-reservada

1075 | a | char

1076 | === | comparador

1077 | b | char

1078 | hasDuplicate | funcao

1079 | = | operador

1080 | true | palavra-reservada

1081 | return | palavra-reservada

1082 | 0 | inteiro

1083 | hasOwn | funcao

1084 | = | operador

1085 | hasOwnProperty | string

1086 | arr | string

1087 | = | operador

1088 | pop | string

1089 | = | operador

1090 | arr | string

1091 | pop | string

1092 | pushNative | funcao

1093 | = | operador

1094 | arr | string

1095 | push | string

1096 | push | string

1097 | = | operador

1098 | arr | string

1099 | push | string

1100 | slice | string

1101 | = | operador

1102 | arr | string

1103 | slice | string

1104 | indexOf | funcao

1105 | = | operador

1106 | function | palavra-reservada

1107 | list | tipo-de-dado

1108 | elem | string

1109 | var | palavra-reservada

1110 | i | char

1111 | = | operador

1112 | 0 | inteiro

1113 | len | string

1114 | = | operador

1115 | list | tipo-de-dado

1116 | length | string

1117 | for | palavra-reservada

1118 | i | char

1119 | < | comparador

1120 | len | string

1121 | i | char

1122 | if | palavra-reservada

1123 | list | tipo-de-dado

1124 | i | char

1125 | === | comparador

1126 | elem | string

1127 | return | palavra-reservada

1128 | i | char

1129 | return | palavra-reservada

1130 | 1 | inteiro

1131 | booleans | string

1132 | = | operador

1133 | checked|selected|async|autofocus|autoplay|controls|defer|disabled|hidden| | string

1134 | ismap|loop|multiple|open|readonly|required|scoped | string

1135 | whitespace | string

1136 | = | operador

1137 | \\x20\\t\\r\\n\\f | string

1138 | identifier | string

1139 | = | operador

1140 | \\\\ | string

1141 | \\da | string

1142 | fA | string

1143 | F | char

1144 | 1 | inteiro

1145 | 6 | inteiro

1146 | whitespace | string

1147 | |\\\\ | string

1148 | ^\\r\\n\\f | string

1149 | | | char

1150 | \\w | string

1151 | | | char

1152 | ^\0 | string

1153 | \\x7f | string

1154 | attributes | string

1155 | = | operador

1156 | \\ | string

1157 | whitespace | string

1158 | * | operador

1159 | identifier | string

1160 | whitespace | string

1161 | * | operador

1162 | *^$| | string

1163 | ~ | char

1164 | = | operador

1165 | whitespace | string

1166 | * | operador

1167 | \\\\ | string

1168 | | | char

1169 | ^\\\\ | string

1170 | * | operador

1171 | |\ | string

1172 | \\\\ | string

1173 | | | char

1174 | ^\\\\\ | string

1175 | * | operador

1176 | \ | char

1177 | | | char

1178 | identifier | string

1179 | | | char

1180 | whitespace | string

1181 | *\\ | string

1182 | pseudos | string

1183 | = | operador

1184 | identifier | string

